ISO Date,moon_theta,moon_phi,sun_theta,sun_phi,eclipse
2002-12-04T07:32:16.000,252.58,-1.02895,251.928,-0.00138598,1
2003-05-31T04:09:22.000,69.7146,0.158697,69.2775,-0.00238554,1
2003-11-23T22:50:22.000,241.14,-1.36941,241.172,-0.000521027,1
2004-04-19T13:35:05.000,29.33,-1.40448,29.7649,-0.00129789,1
2004-10-14T03:00:23.000,201.936,0.643879,201.043,-0.000479926,1
2005-04-08T20:36:51.000,18.3847,-0.844622,19.0246,-0.00153879,1
2005-10-03T10:32:47.000,190.623,-0.301326,190.234,-0.00119614,1
2006-03-29T10:12:23.000,8.38847,-0.308024,8.49118,-0.00192056,1
2006-09-22T11:41:16.000,179.366,-0.985719,179.235,-0.00151912,1
2007-03-19T02:32:57.000,358.125,0.224523,358.006,-0.00203008,1
2007-09-11T12:32:24.000,168.214,-1.67799,168.289,-0.00193041,1
2008-02-07T03:56:10.000,318.143,-1.62602,317.625,-0.00114123,1
2008-08-01T10:22:12.000,129.795,0.438417,129.41,-0.00177957,1
2009-01-26T07:59:45.000,306.712,-1.08956,306.367,-0.00149031,1
2009-07-22T02:36:25.000,120.031,-0.630097,119.304,-0.00257358,1
2010-01-15T07:07:39.000,295.288,-0.422317,294.873,-0.00102926,1
2010-07-11T19:34:38.000,108.707,-1.55456,109.236,-0.00332425,1
2011-01-04T08:51:42.000,283.702,0.144254,283.477,-0.000764104,1
2011-06-01T21:17:18.000,70.5654,0.347357,70.872,-0.00349659,1
2011-07-01T08:39:30.000,99.3696,-1.81927,99.0288,-0.00259001,1
2011-11-25T06:21:24.000,243.371,-1.65757,242.449,7.63969e-05,1
2012-05-20T23:53:54.000,60.1675,-0.384296,60.1654,-0.00371395,1
2012-11-13T22:12:55.000,231.784,-0.83665,231.758,0.000347449,1
2013-05-10T00:26:20.000,49.3042,-1.05883,49.329,-0.00359802,1
2013-11-03T12:47:36.000,220.986,-0.570107,221.062,-0.00116463,1
2014-04-29T06:04:33.000,39.0039,-1.7484,38.6515,-0.00329563,1
2014-10-23T21:45:39.000,210.091,0.456786,210.196,-0.000211696,1
2015-03-20T09:46:47.000,359.333,0.187081,359.245,-0.00204773,1
2015-09-13T06:55:19.000,170.838,-1.32198,169.96,-0.00118225,1
2016-03-09T01:58:19.000,348.891,-0.518791,348.702,-0.00169628,1
2016-09-01T09:08:02.000,159.699,-0.706601,159.122,-0.00143723,1
2017-02-26T14:54:33.000,337.141,-0.917535,337.955,-0.000661592,1
2017-08-21T18:26:40.000,148.222,-0.475672,148.631,-0.0032753,1
2018-02-15T20:52:33.000,326.214,-1.42922,326.866,0.000296669,1
2018-07-13T03:02:16.000,111.297,-2.08518,110.439,-0.0040327,1
2018-08-11T09:47:28.000,138.758,0.775228,138.429,-0.00237151,1
2019-01-06T01:42:38.000,285.602,0.598002,285.163,0.00129372,1
2019-07-02T19:24:08.000,99.8932,-1.46683,100.358,-0.00455697,1
2019-12-26T05:18:53.000,274.545,-0.242782,273.841,0.000968835,1
2020-06-21T06:41:15.000,90.7017,-0.395404,90.0729,-0.00395902,1
2020-12-14T16:14:39.000,262.168,-1.03172,262.843,0.000778796,1
2021-06-10T10:43:07.000,79.4654,0.491391,79.4802,-0.00352506,1
2021-12-04T07:34:38.000,252.653,-1.71865,252.057,0.000812117,1
2022-04-30T20:42:36.000,39.6779,-1.67451,40.1696,-0.00364426,1
2022-10-25T11:01:20.000,212.075,0.272171,211.692,-0.000165518,1
2023-04-20T04:17:56.000,29.9474,-1.27174,29.5146,-0.00402046,1
2023-10-14T18:00:41.000,200.482,-0.458249,200.795,-0.000729543,1
2024-04-08T18:18:29.000,18.1138,-0.0641728,19.0552,-0.00233801,1
2024-10-02T18:46:13.000,189.398,-1.09082,189.712,-0.00115611,1
2025-03-29T10:48:36.000,8.36677,0.411441,8.6382,-0.00238532,1
2025-09-21T19:43:04.000,178.419,-1.7546,178.713,-0.00208771,1
2026-02-17T12:13:06.000,328.164,-1.62099,328.465,-0.000225886,1
2026-08-12T17:47:06.000,139.308,0.00313072,139.661,-0.00395629,1
2027-02-06T16:00:48.000,316.5,-0.721429,317.242,0.00101361,1
2027-08-02T10:07:50.000,129.9,-0.253336,129.527,-0.00346577,1
2028-01-26T15:08:59.000,305.06,-0.205657,305.779,0.00115957,1
2028-07-22T02:56:40.000,120.121,-1.26534,119.437,-0.00460085,1
2029-01-14T17:13:48.000,293.563,0.495481,294.415,0.00211126,1
2029-06-12T04:06:13.000,81.7927,0.47857,81.077,-0.00566682,1
2029-07-11T15:37:19.000,108.538,-1.95608,109.197,-0.0050623,1
2029-12-05T15:03:58.000,252.926,-1.9266,253.338,0.00166053,1
2030-06-01T06:29:13.000,70.9972,-0.0850393,70.4056,-0.00546917,1
2030-11-25T06:51:37.000,243.433,-1.03647,242.601,0.00218807,1
2031-05-21T07:16:04.000,60.0638,-0.777776,59.6274,-0.00525732,1
2031-11-14T21:07:31.000,231.624,-0.215623,231.837,0.00211303,1
2032-05-09T13:26:42.000,48.4362,-1.25852,49.0182,-0.00429334,1
2032-11-03T05:34:13.000,221.623,0.567146,220.889,0.00195636,1
2033-03-30T18:02:36.000,9.04715,0.605582,9.8775,-0.002058,1
2033-09-23T13:54:31.000,180.348,-1.7999,180.382,-0.00173386,1
2034-03-20T10:18:45.000,359.327,-0.44133,359.395,-0.00235228,1
2034-09-12T16:19:28.000,169.194,-1.21094,169.496,-0.00256568,1
2035-03-09T23:05:54.000,348.387,-0.954187,348.707,-0.000977867,1
